Date,Open,High,Low,Close,Volume
11-05-2017,660,662,655.8,658.95,3373319
12-05-2017,660.95,666.3,654.15,665.05,2943390
13-05-2017,666,674,662.05,669.05,7416655
14-05-2017,672,677,663.1,669.15,6827249
15-05-2017,671.75,673.9,651,661.05,7889310
16-05-2017,665,673.6,661.5,671.7,8046340
17-05-2017,674.95,677.45,668.55,670.05,8621545
18-05-2017,686.2,689.8,664,676.1,18130292
19-05-2017,681.6,682,672.55,679.7,9572493
20-05-2017,680.2,685.5,672.5,683.5,12281903
21-05-2017,707,710.2,695.95,701.9,19312937
22-05-2017,707.2,730,707.2,726.6,19671304
23-05-2017,729.9,737.8,728.5,736.8,9658944
24-05-2017,735.8,739,729.1,733.35,6903771
25-05-2017,730,736.2,726.3,730.95,5902151
26-05-2017,738.2,751,734,745,8129422
27-05-2017,741.25,749,734,745.35,6723375
28-05-2017,742.35,742.6,729.2,731.65,7212099
29-05-2017,728.1,736.1,721,732,7429783
30-05-2017,728,737.9,724.25,730.35,5543112
31-05-2017,731,732.6,719,727.95,7944693
01-06-2017,725.5,732.85,716.5,727.9,6760819
02-06-2017,727.9,734.8,721.1,725.9,5763026
